ACCOUNT_NO,PARCELNUMBER,DOC_OCCURENCE,ACTUAL_YEAR_BLT,ABSTRACT_CODE,ABSTRACT_DESC,BUILDING_CODE,BUILDING_DESC,BEDROOMS,BATHROOMS,NUMBER_STORIES,IMPSQFT,UNITS,MODEL,ARCH_STYLE_DESC
"R004093","567511103023",0,1999,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,1331,0,"SFR","CONVENTION"
"R004094","567511103046",0,1997,"1212","SINGLE FAM RES  ","1299","MODULAR SFR",3,1.75,1,1140,,"SFR","MODULAR"
"R001784","537728201010",0,1973,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1.5,1.5,1531,0,"SFR","CONVENTION"
"R001787","537733200002",0,1959,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",1,1,2,4658,2,"SFR","MISC"
"R001787","537733200002",1,1959,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,1,1,512,,"SFR","CABIN"
"R001787","537733200002",2,1959,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,1,1,512,,"SFR","CABIN"
"R001787","537733200002",3,1959,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,1,1,512,,"SFR","CABIN"
"R001787","537733200002",4,1659,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,1,1,512,,"SFR","CABIN"
"R001787","537733200002",5,1959,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",4,4,1,1408,,"SFR","DUPLEX"
"R001789","591128200803",0,1985,"4277","FARM/RANCH RESI ","4277","FARM/RANCH RESI",3,2,1.5,2516,0,"SFR","CONVENTION"
"R001792","559109103004",0,1958,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,1,1,728,0,"SFR","CABIN"
"R001799","566529223008",0,1893,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,3.25,1.5,1922,,"SFR","VICTORIAN"
"R001805","566529228002",0,1904,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1.75,1.5,1180,,"SFR","CONVENTION"
"R001819","590333100353",0,1982,"1212","SINGLE FAM RES  ","1298","MANUFACTURED HOME",3,2,1,1820,0,"SFR","MANUFACTURED"
"R001829","595508312016",0,1952,"3215","MANUFACT/PROCES ","3215","MANUFACT/PROCES",0,1,1,1071,0,"COMMERCIAL","MANUF\DISTRIBU"
"R001830","566529106002",0,1953,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1.75,1,1322,0,"SFR","CONVENTION"
"R001830","566529106002",1,1952,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,1,1,720,0,"SFR","CONVENTION"
"R001839","566517304001",0,1958,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,2422,,"SFR","CONVENTION"
"R001843","566520324002",0,1972,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.5,1,1789,,"SFR","CONVENTION"
"R001844","566517322009",0,1955,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,973,0,"SFR","RANCH"
"R001846","595305200200",0,1994,"1212","SINGLE FAM RES  ","1298","MANUFACTURED HOME",3,2,1,1216,,"SFR","MANUFACTURED"
"R001852","566529105011",0,1913,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1.5,1,1065,,"SFR","VICTORIAN"
"R001861","559701300029",0,2003,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,4.5,2,3000,0,"SFR","CUSTOM"
"R001867","559525101011",0,1971,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",0,1,1,400,,"SFR","CABIN"
"R006036","566517318011",0,1957,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,910,0,"SFR","RANCH"
"R006040","566520102006",0,1968,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",5,3.5,1,3478,0,"SFR","RANCH"
"R006043","566517400009",0,1904,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",3,2,2,2058,2,"SFR","CONVENTION"
"R006048","566529405001",0,1903,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,2,1,1350,0,"SFR","CONVENTION"
"R006048","566529405001",1,1955,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",2,2,1,1258,2,"SFR","CONVENTION"
"R006048","566529405001",2,1903,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,1,1,653,0,"SFR","CONVENTION"
"R006049","566130105005",0,1978,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,2,1,1040,0,"SFR","CONVENTION"
"R006051","566529414007",0,1952,"3215","MANUFACT/PROCES ","3215","MANUFACT/PROCES",0,0.5,1.5,6016,0,"COMMERCIAL","MANUF\DISTRIBU"
"R006051","566529414007",0,1998,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.7,1,3466,0,"SFR","MISC"
"R006055","508936404008",0,2003,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,1284,,"SFR","LOG HOME"
"R004106","567501316030",0,1996,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,1475,0,"SFR","RANCH"
"R004113","567502419011",0,1996,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1,1,1008,0,"SFR","RANCH"
"R004114","567502419009",0,2004,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,3,2,2040,0,"SFR","CONVENTION"
"R004140","559733100029",0,1965,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,841,,"SFR","RANCH"
"R004142","566517201006",0,1969,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.75,2,2208,,"SFR","CONVENTION"
"R004146","566529413011",0,1923,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",3,2,1.5,1163,2,"SFR","CONVENTION"
"R004150","537728304008",0,1984,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,1544,0,"SFR","CONVENTION"
"R004157","566516307019",0,1978,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,1200,,"SFR","CONVENTION"
"R004175","566304101011",0,2022,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,3,1,,,"SFR","RANCH"
"R003596","566304201007",0,1974,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,2,1612,0,"SFR","SPLIT LEVEL"
"R003600","559109101003",0,1958,"2215","LODGING         ","2215","RES USE IN HOTEL / MOTEL",2,1,1.5,744,1,"COMMERCIAL","LODGING/HTL-MTL"
"R003603","566529311020",0,1949,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",3,2,1,2016,2,"SFR","CONVENTION"
"R003603","566529311020",1,1943,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,825,0,"SFR","CONVENTION"
"R003617","537720406084",0,2002,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,3,1.5,3237,0,"SFR","CONVENTION"
"R003625","567701302007",0,1985,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1.5,1174,0,"SFR","CONVENTION"
"R003626","567701302008",0,1986,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,1348,0,"SFR","CONVENTION"
"R003627","559710100078",0,1995,"1212","SINGLE FAM RES  ","1298","MANUFACTURED HOME",3,2,1,1958,0,"SFR","MANUFACTURED"
"R003633","567712308017",0,1979,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,1.5,1.5,1366,0,"SFR","CONVENTION"
"R003634","566520318011",0,1906,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,2,2,1750.5,0,"SFR","CONVENTION"
"R003645","566304201003",0,1981,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2.5,2,2100,,"SFR","MODERN"
"R003650","566529233002",0,1903,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.5,1.5,2062,0,"SFR","VICTORIAN"
"R003650","566529233002",1,1949,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,1,2,671,0,"SFR","CONVENTION"
"R003665","595310200142",0,2001,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",0,1,1,160,0,"SFR","CABIN"
"R003666","567502417018",0,2003,"1212","SINGLE FAM RES  ","1299","MODULAR SFR",3,2,1,1644,0,"SFR","MODULAR"
"R003667","567132108001",0,1976,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1.5,1680,0,"SFR","CONVENTION"
"R003679","559703100105",0,1973,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2.5,2,2688,2,"SFR","CONVENTION"
"R003680","566517421014",0,1954,"2212","MERCHANDISING   ","2212","MERCHANDISING",0,1,1.5,1837,0,"COMMERCIAL","RETAIL/MERCHAND"
"R003681","559118102011",0,2017,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1.75,1,1906,,"SFR","MODERN"
"R003682","559107402029",0,2020,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,2.75,1,2025,,"SFR","CONVENTION"
"R003689","595306100021",0,1982,"4277","FARM/RANCH RESI ","4277","FARM/RANCH RESI",2,2,1.5,1872,0,"SFR","LOG HOME"
"R003711","567534400062",0,1957,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,2,1,1500,0,"SFR","LOG HOME"
"R003713","590502300150",0,1978,"1212","SINGLE FAM RES  ","1299","MODULAR SFR",3,1.5,1,1691,0,"SFR","MODULAR"
"R006056","566529405010",0,1967,"2230","SPECIAL PURPOSE ","2230","SPECIAL PURPOSE",0,1,1,2700,0,"COMMERCIAL","SPEC PURPOSE"
"R006064","590115300054",0,1983,"4277","FARM/RANCH RESI ","4277","FARM/RANCH RESI",3,4,1,5355,,"SFR","RANCH"
"R006064","590115300054",1,1907,"4277","FARM/RANCH RESI ","4277","FARM/RANCH RESI",3,1,1.5,1728,,"SFR","VICTORIAN"
"R003723","559324102060",0,1992,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1.5,1305,0,"SFR","LOG HOME"
"R003733","566505100026",0,1982,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1.5,2,1778,0,"SFR","CONVENTION"
"R003740","567134101014",0,1983,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.75,2,2680,0,"SFR","MODERN"
"R003741","567134101010",0,1985,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,2.75,1,4012,0,"SFR","CONVENTION"
"R003741","567134101010",1,1985,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,1,1,576,0,"SFR","MISC"
"R003746","567134201011",0,1994,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,2,1881,0,"SFR","CONVENTION"
"R003753","567127301008",0,1983,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1.5,1872,,"SFR","LOG HOME"
"R003786","566517308004",0,1999,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2.5,1,2642,,"SFR","SOUTHWEST"
"R003795","566516323012",0,1971,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.5,1,1404,0,"SFR","RANCH"
"R003800","566529318008",0,1898,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,2,826,,"SFR","CONVENTION"
"R003812","566516201001",0,1994,"2215","LODGING         ","2215","RES USE IN HOTEL / MOTEL",0,76,3,40845,76,"COMMERCIAL","LODGING/HTL-MTL"
"R003819","590531203001",0,1984,"1212","SINGLE FAM RES  ","1298","MANUFACTURED HOME",3,2,1,1663,0,"SFR","CONVENTION"
"R003829","559329105003",0,2000,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1,1,1764,,"SFR","RANCH"
"R003834","566529208005",0,1888,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2.5,2,2456,,"SFR","VICTORIAN"
"R003836","566529206011",0,1901,"2220","OFFICES         ","2220","OFFICES",0,3,2,3775,0,"COMMERCIAL","OFFICE"
"R003836","566529206011",1,1901,"2235","WAREHOUSE/STG   ","2235","WAREHOUSE/STG",0,0,0,1888,,"COMMERCIAL","MINI STORAGE"
"R003847","567502108024",0,1995,"1212","SINGLE FAM RES  ","1298","MANUFACTURED HOME",3,2,1,1540,0,"SFR","MANUFACTURED"
"R003848","566529224003",0,1950,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,840,0,"SFR","CONVENTION"
"R003852","537732400042",0,1994,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.75,1.5,1688,0,"SFR","LOG HOME"
"R003862","566520232012",0,1951,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.5,1,1188,,"SFR","CONVENTION"
"R003868","537124400004",0,1957,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1,1387,0,"SFR","CONVENTION"
"R003873","537720103001",0,1966,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,2036.5,0,"SFR","RANCH"
"R003874","566516216019",0,1938,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,1.75,1.5,1372,,"SFR","CONVENTION"
"R007081","566520322011",0,1947,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,3,1.5,2250,,"SFR","CONVENTION"
"R007084","559525101026",0,1974,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1.5,1.5,816,,"SFR","CABIN"
"R007086","566515201016",0,1972,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",4,2,1,2364,0,"SFR","CONVENTION"
"R007097","567508100113",0,1985,"1215","DUPLEX-TRIPLEX  ","1215","DUPLEX-TRIPLEX",5,4,1.5,6106,,"SFR","CONVENTION"
"R007104","508935401011",0,1972,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,2,1.5,1932,,"SFR","CONVENTION"
"R007108","567501411015",0,1996,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,1433,0,"SFR","CONVENTION"
"R003725","537720103018",0,1985,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",2,1,1.5,914,,"SFR","LOG HOME"
"R003735","537732200056",0,2017,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2.75,1,1860,,"SFR","CONVENTION"
"R003747","567134201005",0,1990,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,2,1756,0,"SFR","CONVENTION"
"R003748","567134201004",0,1995,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2.5,2,2380,,"SFR","CONVENTION"
"R003748","567134201004",1,1995,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",1,1,1,480,,"SFR","CONVENTION"
"R003749","567127305001",0,1992,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2,1,2174,0,"SFR","CONVENTION"
"R003765","567502208052",0,2003,"1212","SINGLE FAM RES  ","1212","SINGLE FAM RES",3,2.5,1.5,1626,1,"SFR","CONVENTION"
